total_t,total_f,prep_t,prep_f,minor_t,minor_f,teach_q_t,teach_q_f,vdip_t,vdip_f,ip_t,dip_f,bsc_t,bsc_f,hdip_t,hdip_f,msc_t,Msc_f,phd_t,phd_f,program_en,program_ar,prog_isced2,prog_isced1,inst,inst_type
272,221,,,,,,,,,,,272,221,,,,,,,Educational Guidance & Psychological Counseling,الإرشاد النفسي والتربوي,"علوم التربية
Education Science","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
14,11,,,,,,,,,,,,,,,14,11,,,Education Fundamentals,أصول التربية,"علوم التربية
Education Science","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
32,28,,,,,,,,,,,,,,,32,28,,,Curriculum & Teaching Methods,مناهج وأساليب التدريس,"علوم التربية
Education Science","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
95,40,,,,,,,,,,,95,40,,,,,,,Economics,الإقتصاد,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
10,8,,,,,,,,,,,10,8,,,,,,,English Language (Teacher),اللغة الإنجليزية -معلم,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
12,11,,,,,,,,,,,12,11,,,,,,,Teaching Methods of  Biology,أحياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
39,18,,,,,,,,,,,39,18,,,,,,,Teaching Methods of History,التاريخ وأساليب تدريسه,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
38,24,,,,,,,,,,,38,24,,,,,,,Teaching Methods of Geography,الجغرافيا وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
10,9,,,,,10,9,,,,,,,,,,,,, Educational Qualification,تأهيل تربوي,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
11,6,,,,,,,,,,,11,6,,,,,,,Teaching Methods of Physics,الفيزياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
37,28,,,,,,,,,,,37,28,,,,,,,Teaching Methods of Chemistry,الكيمياء وأساليب تدريسها,"تدريب المعلمين
Teacher Training","التربية
Education","جامعة الأزهر
Al-Azhar University - Gaza","جامعات تقليدية
Traditional Universities"
